"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"39","2022-04-08","17:13:15","5min","OK1ØØ8SWL","-23","FT8","20m","14.0751","Czech Rep.","OK","JN79QQ","6212"
"300","2022-04-08","16:27:30","51min","OE8MDK","-15","FT8","20m","14.0751","Austria","OE","JN76GP42","6211"
"56","2022-04-08","17:08:31","10min","S52D","-20","FT8","20m","14.0751","Slovenia","S5","JN76FB","6207"
"230","2022-04-08","16:47:33","31min","SP6ARC","-19","FT8","20m","14.0751","Poland","SP","JO70XV","6201"
"302","2022-04-08","16:27:29","51min","S51TC","-20","FT8","20m","14.0751","Slovenia","S5","JN76GC34","6201"
"55","2022-04-08","17:08:31","10min","S57CT","-20","FT8","20m","14.0751","Slovenia","S5","JN76HD","6196"
"241","2022-04-08","16:46:27","32min","OE8KJK","-19","FT8","20m","14.0751","Austria","OE","JN76KT","6189"
"141","2022-04-08","17:00:29","18min","JA4NUE","-13","FT8","20m","14.0751","Japan","JA","PM75CL74FO","6169"
"115","2022-04-08","17:02:15","16min","SP3WKW","-19","FT8","20m","14.0751","Poland","SP","JO82MH","6167"
"175","2022-04-08","16:57:27","21min","JA4DFJ","-14","FT8","20m","14.0751","Japan","JA","PM75BA","6161"
"85","2022-04-08","17:05:27","13min","SQ2JSG","-23","FT8","20m","14.0751","Poland","SP","JO94CI","6157"
"152","2022-04-08","17:00:27","18min","OH3KAV","-14","FT8","20m","14.0751","Finland","OH","KP11XM","6151"
"228","2022-04-08","16:48:27","30min","S51Z","-15","FT8","20m","14.0750","Slovenia","S5","JN76PA53","6143"
"333","2022-04-08","16:13:29","1h:05m","SP6NIN","-18","FT8","20m","14.0751","Poland","SP","JO81MD","6134"
"220","2022-04-08","16:48:29","30min","SP6SYX","-19","FT8","20m","14.0749","Poland","SP","JO81MC","6133"
"291","2022-04-08","16:28:30","50min","SP2GVN","-20","FT8","20m","14.0758","Poland","SP","JO83XD","6133"
"163","2022-04-08","16:59:27","19min","JH4OWG","-24","FT8","20m","14.0751","Japan","JA","PM64VP","6130"
"221","2022-04-08","16:48:29","30min","SP6ZOLW","-12","FT8","20m","14.0750","Poland","SP","JO81ND","6129"
"204","2022-04-08","16:50:27","28min","S52NY","-13","FT8","20m","14.0761","Slovenia","S5","JN75RU","6127"
"179","2022-04-08","16:55:29","23min","IU8PLP","-20","FT8","20m","14.0751","Italy","I","JN70HV","6123"
"185","2022-04-08","16:52:15","26min","OE3XOE","-17","FT8","20m","14.0751","Austria","OE","JN87AQ","6120"
"51","2022-04-08","17:10:29","8min","SP6VXO","-17","FT8","20m","14.0751","Poland","SP","JO81QF","6114"
"38","2022-04-08","17:13:28","5min","OE3IPU","-16","FT8","20m","14.0751","Austria","OE","JN88EE48","6106"
"57","2022-04-08","17:08:30","10min","OE1KDK","-24","FT8","20m","14.0751","Austria","OE","JN88EE36","6106"
"244","2022-04-08","16:45:27","33min","OE1HLB","-16","FT8","20m","14.0750","Austria","OE","JN88FF","6101"
"190","2022-04-08","16:51:29","27min","OK3OTO","-17","FT8","20m","14.0751","Czech Rep.","OK","JN89JE","6100"
"346","2022-04-08","15:19:30","1h:59m","SP6DA","-12","FT8","20m","14.0751","Poland","SP","JO80PL","6099"
"170","2022-04-08","16:57:30","21min","JO4JDU","-14","FT8","20m","14.0751","Japan","JA","PM64QN","6092"
"159","2022-04-08","16:59:28","19min","OH7GIQ","-13","FT8","20m","14.0750","Finland","OH","KP32QV","6075"
"153","2022-04-08","17:00:26","18min","OH3MAA","-9","FT8","20m","14.0751","Finland","OH","KP20JR","6070"
"253","2022-04-08","16:42:30","36min","RC2FB","-22","FT8","20m","14.0750","Kaliningrad","UA2","JO94WP","6065"
"34","2022-04-08","17:13:33","5min","SQ2CFK","-18","FT8","20m","14.0751","Poland","SP","JO93MC54","6063"
"269","2022-04-08","16:38:29","40min","OH3BY","-15","FT8","20m","14.0751","Finland","OH","KP20LM","6051"
"110","2022-04-08","17:02:30","16min","SP2AEG","-16","FT8","20m","14.0750","Poland","SP","JO92NP05MT","6042"
"207","2022-04-08","16:50:27","28min","OH2TI","-11","FT8","20m","14.0751","Finland","OH","KP20KE","6038"
"29","2022-04-08","17:14:30","4min","SP6FME","-14","FT8","20m","14.0751","Poland","SP","JO90CI","6032"
"140","2022-04-08","17:00:29","18min","SQ4NR","-6","FT8","20m","14.0751","Poland","SP","JO93VL","6028"
"187","2022-04-08","16:51:30","27min","I8ZSE","-15","FT8","20m","14.0749","Italy","I","JN70VP60","6022"
"68","2022-04-08","17:08:15","10min","SP2SJG","-19","FT8","20m","14.0751","Poland","SP","JO93VG","6021"
"59","2022-04-08","17:08:30","10min","ES2MA","-14","FT8","20m","14.0751","Estonia","ES","KO29GH48","6010"
"192","2022-04-08","16:51:29","27min","JH4JOM","-17","FT8","20m","14.0751","Japan","JA","PM64FK","6008"
"245","2022-04-08","16:45:27","33min","HA1DBO","-18","FT8","-","0.0000","Hungary","HA","JN87SN","6007"
"233","2022-04-08","16:47:27","31min","HA1TAB","-11","FT8","20m","14.0761","Hungary","HA","JN87TQ15","6004"
"27","2022-04-08","17:15:15","3min","SR4DON","-14","FT8","20m","14.0751","Poland","SP","KO03FS","5997"
"136","2022-04-08","17:00:29","18min","SP7FZS","-17","FT8","20m","14.0751","Poland","SP","JO91RT","5993"
"53","2022-04-08","17:08:33","10min","OH5C","-13","FT8","20m","14.0751","Finland","OH","KP30GT","5992"
"135","2022-04-08","17:00:30","18min","SP9QZH","-21","FT8","20m","14.0751","Poland","SP","JO90LH","5980"
"276","2022-04-08","16:34:29","44min","ES2HV","-7","FT8","20m","14.0751","Estonia","ES","KO29QH33BO","5968"
